,iter,method,n,mse_train,mse_val,mse_test,mse_test_m,mse_test_s1,mse_test_s2,R2_train,R2_val,R2_test,R2_test_m,R2_test_s1,R2_test_s2,early_stopping,optimizer,residual_connection,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,mode,verbose,mlp_depth,init_type,max_iter,order0,n_iter_no_change,add_mask,imputation_type,mdm,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,link,curvature,sm_type,sm_param,perm,width_factor,max_leaf_nodes,min_samples_leaf
0,0,BayesPredictor,20000,0.13675511765909665,0.14028252059920074,0.11607242115409475,0.13746999802174,0.13841375683113621,0.1370545212180972,0.8928902537507043,0.8880426181132964,0.9080681418175036,0.8911207999555298,0.8908472147933122,0.8919191050180413,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
1,1,BayesPredictor,20000,0.1505769922492778,0.1557182912296698,0.12024937951791939,0.1554170783059453,0.15192985572327922,0.15015990072745766,0.8828609744686196,0.8797783952680538,0.9060489514173169,0.8785723674164603,0.88114476507009,0.8823323710465643,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
2,2,BayesPredictor,20000,0.15374401449145197,0.16378547694829848,0.11702773860008608,0.1540471255288906,0.15412993629403846,0.15590333766400966,0.8799229172996462,0.8730783470108022,0.9080798857066603,0.8790027940848747,0.8811941788291373,0.8779633138313054,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
3,3,BayesPredictor,20000,0.18531593659085152,0.18550854175835552,0.11932773172921293,0.1838824623285558,0.18154442732549253,0.18391091688618816,0.8581297089220488,0.8527158213714409,0.9066967403875212,0.8562209063040215,0.8583116702939234,0.8553210645904634,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
4,4,BayesPredictor,20000,0.14794703311530544,0.1492691694903117,0.11488779111457025,0.14425927684591697,0.1504945055433211,0.146565830458963,0.8833974771860882,0.8842381636453321,0.9103222882508912,0.8873958518949857,0.8830921906050405,0.885065963212355,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
5,5,BayesPredictor,20000,0.14505465061642508,0.14566075331820158,0.11679297935207042,0.14352614437223793,0.14056241451517432,0.14245188510722748,0.8859318874838694,0.8879290849078405,0.9098051021690571,0.8891600676723923,0.89078795638234,0.8881796155418468,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
6,6,BayesPredictor,20000,0.16710550316579928,0.17218694351832053,0.12013385180444539,0.17118395206335044,0.16123055232386335,0.16996046135088883,0.8709371760086566,0.8620775917852409,0.9070026915993603,0.8674840892541278,0.8744004423108893,0.8671616531031978,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
7,7,BayesPredictor,20000,0.15964111657749064,0.15380340474055607,0.11634513586364678,0.1549262035772265,0.15796634675110238,0.1593200907876371,0.8749341118140967,0.8772214660227604,0.9104801623666071,0.8807945988765243,0.8757221716683854,0.8763209057020427,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
8,8,BayesPredictor,20000,0.15955848933430744,0.15994511010994192,0.11605532523485194,0.16076126389421502,0.16031366096674843,0.15867361079803785,0.8756905557591762,0.8777054647623944,0.908934995858667,0.8738556362435987,0.8746825086774446,0.8762979150557763,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
9,9,BayesPredictor,20000,0.15014392553382885,0.14603178792543162,0.11495773537847404,0.14835441019923104,0.1481443244569678,0.15055674303357397,0.8836746244863065,0.8837717789922656,0.9085510937678736,0.881984030889562,0.8835552743312287,0.8826484613256815,,,,,,,,,,,,,,,,,False,,,,,50,0.5,0.3,10,MAR_logistic,0.5,stairs,20,,,,,,
