,iter,method,n,mse_train,mse_val,mse_test,R2_train,R2_val,R2_test,early_stopping,optimizer,residual_connection,depth,n_epochs,learning_rate,lr,weight_decay,batch_size,type_width,width,mode,verbose,mlp_depth,init_type,max_iter,order0,n_iter_no_change,add_mask,imputation_type,mdm,n_features,missing_rate,prop_latent,snr,masking,prop_for_masking,link,curvature,sm_type,sm_param,perm,width_factor,max_leaf_nodes,min_samples_leaf
21,1,BayesPredictor_order0,100000,0.22475518773668526,0.23266450145758555,0.22785732669143177,0.8242384808511741,0.8199988506747911,0.8224254521476682,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
22,2,BayesPredictor_order0,100000,0.2350955554236731,0.2440216635003142,0.2304077234372808,0.8158557211995273,0.8092346864074548,0.8189636889139772,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
23,3,BayesPredictor_order0,100000,0.28415853249263223,0.26968004523928785,0.2799806099303186,0.7780027654179036,0.7927999715879318,0.7813881205514581,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
24,4,BayesPredictor_order0,100000,0.23496324444012917,0.24183594624397764,0.2374399688333268,0.8170033644798576,0.8136253905970445,0.8147462272156991,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
25,5,BayesPredictor_order0,100000,0.21186679666999741,0.2095419952143684,0.20387361546005114,0.8336835648935527,0.8360743125551713,0.8436060997387231,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
26,6,BayesPredictor_order0,100000,0.2645117439935293,0.26512492542208027,0.2644646933815774,0.7942248405976595,0.7837265084534104,0.7941919375962769,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
27,7,BayesPredictor_order0,100000,0.24708149366250337,0.23325487921769408,0.24214359481841444,0.8070356689796016,0.8149479522021394,0.812359789437507,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
28,8,BayesPredictor_order0,100000,0.2602093537566541,0.2581528532568888,0.2557691348895577,0.7973452962479045,0.7975420536902129,0.7977024421977713,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
29,9,BayesPredictor_order0,100000,0.21298333897219124,0.22046325188850377,0.2144556974817218,0.8328911906769648,0.8272987251765633,0.8322566641097944,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.3,10,,,stairs,20,gaussian,2,False,,,
30,0,BayesPredictor_order0,100000,0.6496324038757864,0.644660037899371,0.6573392483567826,0.4910308406326075,0.4902942119292828,0.48320351506882475,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
31,1,BayesPredictor_order0,100000,0.6210697979786395,0.6338861089319288,0.603185688780164,0.5142869725154238,0.5185942923156188,0.5402782001767111,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
32,2,BayesPredictor_order0,100000,0.6612973358183268,0.6564224031808251,0.6667405252373311,0.4813928628143356,0.47935181525194126,0.48014827703737817,,,,,,,,,,,,,,,,,True,,,,,50,0.5,0.7,10,,,stairs,20,gaussian,2,False,,,
